from,to,weight,ref,note
memory,prudence,1.0,ST II-II Q49,Memory is a quasi-integral part of prudence.
intelligence-understanding,prudence,1.0,ST II-II Q49,Understanding is a quasi-integral part of prudence.
shrewdness,prudence,1.0,ST II-II Q49,Shrewdness is a quasi-integral part of prudence.
reason,prudence,1.0,ST II-II Q49,Reason is a quasi-integral part of prudence.
foresight-providence,prudence,1.0,ST II-II Q49,Foresight or providence is a quasi-integral part of prudence.
circumspection,prudence,1.0,ST II-II Q49,Circumspection is a quasi-integral part of prudence.
caution,prudence,1.0,ST II-II Q49,Caution is a quasi-integral part of prudence.
