from,to,weight,ref,note
despair,hope,1.0,CCC+ST,Despair as defect opposed to hope
precipitation,deliberation,1.0,ST II-II Q53 A2-3,Precipitation arises from a defect in counsel or deliberation.
thoughtlessness,judgment,1.0,ST II-II Q53 A2,Thoughtlessness arises from a defect in judgment.
inconstancy,command,1.0,ST II-II Q53 A2; Q53 A5,Inconstancy arises from a defect in command; when reason fails to command what has been counselled and judged.
insensibility,temperance,1.0,ST II-II Q142 A1,Insensibility is a defect opposed to temperance.
deficient_play,eutrapelia,1.0,ST II-II Q143 A1,Deficient play is a defect opposed to eutrapelia.
